# round	mode	threads	workers	kind	index	value_us	collections
1	checked	4	3	reset	164	35.437	0
1	checked	4	3	reset	165	35.307	0
1	checked	4	3	reset	166	35.777	0
1	checked	4	3	reset	167	35.227	0
1	checked	4	3	reset	168	34.155	0
1	checked	4	3	reset	169	35.958	0
1	checked	4	3	reset	170	37.04	0
1	checked	4	3	reset	171	35.376	0
1	checked	4	3	reset	172	35.387	0
1	checked	4	3	reset	173	36.418	0
1	checked	4	3	reset	174	34.936	0
1	checked	4	3	reset	175	47.43	0
1	checked	4	3	reset	176	35.317	0
1	checked	4	3	reset	177	36.308	0
1	checked	4	3	reset	178	36.519	0
1	checked	4	3	reset	179	34.695	0
1	checked	4	3	reset	180	38.703	0
1	checked	4	3	reset	181	35.367	0
1	checked	4	3	reset	182	34.685	0
1	checked	4	3	reset	183	35.216	0
1	checked	4	3	reset	184	41.048	0
1	checked	4	3	reset	185	37.972	0
1	checked	4	3	reset	186	38.853	0
1	checked	4	3	reset	187	35.978	0
1	checked	4	3	reset	188	44.725	0
1	checked	4	3	reset	189	36.909	0
1	checked	4	3	reset	190	35.176	0
1	checked	4	3	reset	191	34.956	0
1	checked	4	3	reset	192	34.485	0
1	checked	4	3	reset	193	35.107	0
1	checked	4	3	reset	194	35.968	0
1	checked	4	3	reset	195	35.807	0
1	checked	4	3	reset	196	35.988	0
1	checked	4	3	reset	197	35.427	0
1	checked	4	3	reset	198	38.383	0
1	checked	4	3	reset	199	34.556	0
1	checked	4	3	reset	200	35.186	0
1	checked	4	3	stall	1	621.252	0
1	checked	4	3	stall	2	621.062	0
1	checked	4	3	stall	3	630.008	0
1	unsafe	4	3	reset	1	0.16	0
1	unsafe	4	3	reset	2	0.091	0
1	unsafe	4	3	reset	3	0.09	0
1	unsafe	4	3	reset	4	0.1	0
1	unsafe	4	3	reset	5	0.06	0
1	unsafe	4	3	reset	6	0.07	0
1	unsafe	4	3	reset	7	0.171	0
1	unsafe	4	3	reset	8	0.08	0
1	unsafe	4	3	reset	9	0.08	0
1	unsafe	4	3	reset	10	0.07	0
1	unsafe	4	3	reset	11	0.07	0
1	unsafe	4	3	reset	12	0.07	0
1	unsafe	4	3	reset	13	0.071	0
1	unsafe	4	3	reset	14	0.08	0
1	unsafe	4	3	reset	15	0.07	0
1	unsafe	4	3	reset	16	0.07	0
1	unsafe	4	3	reset	17	0.081	0
1	unsafe	4	3	reset	18	0.08	0
1	unsafe	4	3	reset	19	0.08	0
1	unsafe	4	3	reset	20	0.08	0
1	unsafe	4	3	reset	21	0.08	0
